artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Sisqo,Thong Song,253733,VERDADERO,1999,69,706,888,2,-6.959,1,654,119,9.64e-05,700,714,121.549,"hip hop, pop, R&B"
Destiny's Child,"Jumpin', Jumpin'",230200,FALSO,1999,70,771,685,1,-4.639,1,567,543,157,537,683,88.997,"pop, R&B"
Crazy Town,Butterfly,216733,FALSO,1999,71,736,811,9,-4.17,0,810,132,142,107,609,103.502,"rock, metal"
DMX,Party Up,268866,VERDADERO,1999,71,510,931,11,-3.302,1,347,738,0.0,500,530,201.936,"hip hop, pop"
Wheatus,Teenage Dirtbag,241666,VERDADERO,1999,71,625,850,4,-3.904,1,495,346,233,174,633,94.661,set()
Dido,Thank You,218360,FALSO,1999,73,725,583,1,-9.942,0,427,0.3,238,665,762,79.984,pop
Destiny's Child,Say My Name,271333,FALSO,1999,75,713,678,5,-3.525,0,102,273,0.0,149,734,138.009,"pop, R&B"
Red Hot Chili Peppers,Otherside,255373,FALSO,1999,78,458,795,0,-3.265,1,574,316,202,756,513,123.229,rock
blink-182,All The Small Things,167066,FALSO,1999,79,434,897,0,-4.918,1,488,103,0.0,612,684,148.726,"rock, pop"
Dr. Dre,Forgot About Dre,222293,VERDADERO,1999,79,924,740,8,-1.299,1,774,827,0.0,163,621,133.974,hip hop
Dr. Dre,The Next Episode,161506,VERDADERO,1999,82,922,909,10,-2.429,0,270,281,0.0,856,309,95.295,hip hop
Musiq Soulchild,Love,304666,FALSO,2000,0,569,385,1,-9.919,0,499,342,0.0,876,339,99.738,"pop, R&B"
Oasis,Go Let It Out,278666,FALSO,2000,0,408,849,2,-5.631,1,333,136,2.51e-05,560,628,84.192,"Folk/Acoustic, rock"
Nelly Furtado,I'm Like A Bird,243160,FALSO,2000,1,622,608,10,-5.085,1,360,138,5.38e-06,273,607,89.661,"hip hop, pop, latin"
